Frags;Deaths
17;27
;47
55;
92;101
;130
141;
154;
174;
188;
206;218
228;249
265;278
292;
307;
319;
337;
352;366
374;
391;410
427;
444;454
;477
486;
507;
525;533
560;571
;592
607;617
642;
658;
672;
691;704
727;738
756;
775;784
;804
;821
832;855
871;
885;
900;
913;
928;
947;
969;981
991;1011
;1042
1052;
1071;
1089;1099
1112;1125
1148;1163
;1186
1199;
1232;1247
1265;1301
1310;
1333;1347
1370;1389
1418;1431
1442;1460
1488;1498
;1513
1523;
1543;1553
1568;1577
1600;1610
1626;
1643;
1654;
1673;
1689;
1703;
1719;
1736;
1754;1767
1782;
1812;
1824;1833
1852;
1873;
1894;
1905;1921
1938;1948
;1973
;1997
2010;2027
2041;2051
2070;2082
;2109
2119;
2138;
2158;2169
2181;2201
2218;2234
;2255
2286;
2319;2327
;2351
2361;
2375;
2389;
2405;
2420;2437
2446;
2467;
2484;2494
;2509
2520;
2539;2553
2566;2582
2594;2633
2644;2667
2675;
2700;
2713;
2725;2738
2755;2774
2784;2805
2821;
2840;
2853;
2874;
2889;
2905;
2925;
2942;2957
2967;
2989;3003
3013;
3032;
3054;3065
;3082
;3103
3111;3129
3141;3160
;3184
3194;
3213;3222
3237;3261
3271;
3289;
3310;3323
3341;3351
3368;
3386;
3412;
3427;3437
3453;
3476;3486
3502;
3521;
3538;
3551;3572
3593;3607
3624;
