Frags;Deaths
12;24
39;48
;59
74;91
;105
;117
;137
;153
;167
;180
;193
;205
;226
;241
255;273
;288
;307
;322
;342
;353
366;
383;390
;404
;422
;443
;459
478;487
;501
;514
;526
;544
555;571
;585
;595
610;619
633;
645;
658;
673;681
;698
;715
;728
;750
;766
781;793
;808
;824
835;855
;871
;890
908;921
935;948
969;986
;1005
;1037
1047;1064
;1084
1095;1108
1120;1132
;1145
;1165
;1185
;1201
1217;1234
1245;1256
1270;1288
;1298
;1320
1334;1346
;1358
;1371
;1398
1422;1433
;1452
;1464
;1476
;1494
;1511
1522;1537
;1557
